Latitude,Longitude,Time,Speed,ID
59.349319672,18.058671495,2019-11-08 18:01:01.733878,0.395,000000005e0fc628
59.349324248,18.058671495,2019-11-08 18:01:02.741344,0.123,000000005e0fc628
59.349324248,18.058671495,2019-11-08 18:01:03.748972,0.123,000000005e0fc628
59.349328825,18.058671495,2019-11-08 18:01:04.756357,0.279,000000005e0fc628
59.349328825,18.058671495,2019-11-08 18:01:05.763604,0.157,000000005e0fc628
59.349328825,18.058671495,2019-11-08 18:01:06.771296,0.157,000000005e0fc628
59.349326431,18.058688206,2019-11-08 18:01:07.779027,0.261,000000005e0fc628
59.349331007,18.058688206,2019-11-08 18:01:08.786251,0.371,000000005e0fc628
59.349331007,18.058688206,2019-11-08 18:01:09.793267,0.371,000000005e0fc628
59.349331007,18.058688206,2019-11-08 18:01:10.797518,0.371,000000005e0fc628
59.349335583,18.058688206,2019-11-08 18:01:11.805357,0.528,000000005e0fc628
59.349335583,18.058688206,2019-11-08 18:01:12.812785,0.528,000000005e0fc628
59.349325847,18.058699469,2019-11-08 18:01:13.820231,0.414,000000005e0fc628
59.349325847,18.058699469,2019-11-08 18:01:14.827598,0.279,000000005e0fc628
59.349325847,18.058699469,2019-11-08 18:01:15.834743,0.279,000000005e0fc628
59.34934016,18.058688206,2019-11-08 18:01:16.842115,0.153,000000005e0fc628
59.349344736,18.058688206,2019-11-08 18:01:17.849618,0.414,000000005e0fc628
59.349344736,18.058688206,2019-11-08 18:01:18.856847,0.414,000000005e0fc628
59.3493541,18.058654784,2019-11-08 18:01:19.864012,0.414,000000005e0fc628
59.349356494,18.058638072,2019-11-08 18:01:20.871362,0.43,000000005e0fc628
59.349356494,18.058638072,2019-11-08 18:01:21.878782,0.43,000000005e0fc628
59.349363464,18.058621361,2019-11-08 18:01:22.886407,0.43,000000005e0fc628
59.349370434,18.05860465,2019-11-08 18:01:23.893494,0.368,000000005e0fc628
59.349370434,18.05860465,2019-11-08 18:01:24.901577,0.368,000000005e0fc628
59.349372828,18.058587939,2019-11-08 18:01:25.908972,0.306,000000005e0fc628
59.349377404,18.058587939,2019-11-08 18:01:26.916400,0.123,000000005e0fc628
59.349377404,18.058587939,2019-11-08 18:01:27.923499,0.123,000000005e0fc628
59.349379798,18.058571227,2019-11-08 18:01:28.931206,0.392,000000005e0fc628
59.349382192,18.058554516,2019-11-08 18:01:29.938683,0.458,000000005e0fc628
59.349382192,18.058554516,2019-11-08 18:01:30.946055,0.458,000000005e0fc628
59.349389162,18.058537805,2019-11-08 18:01:31.953376,0.17,000000005e0fc628
59.349389162,18.058537805,2019-11-08 18:01:32.961022,0.17,000000005e0fc628
59.349389162,18.058537805,2019-11-08 18:01:33.968555,0.17,000000005e0fc628
59.349391556,18.058521093,2019-11-08 18:01:34.975902,0.0,000000005e0fc628
59.349396132,18.058521093,2019-11-08 18:01:35.983171,0.215,000000005e0fc628
59.349396132,18.058521093,2019-11-08 18:01:36.990628,0.215,000000005e0fc628
59.349398526,18.058504382,2019-11-08 18:01:37.997987,0.304,000000005e0fc628
59.34940092,18.058487671,2019-11-08 18:01:39.005155,0.123,000000005e0fc628
59.34940092,18.058487671,2019-11-08 18:01:40.012451,0.123,000000005e0fc628
59.349393578,18.058482222,2019-11-08 18:01:41.019986,0.172,000000005e0fc628
59.349395972,18.058465511,2019-11-08 18:01:42.027056,0.17,000000005e0fc628
59.349395972,18.058465511,2019-11-08 18:01:43.034216,0.17,000000005e0fc628
59.349402942,18.058448799,2019-11-08 18:01:44.041639,0.414,000000005e0fc628
59.349402942,18.058448799,2019-11-08 18:01:45.049071,0.392,000000005e0fc628
59.349402942,18.058448799,2019-11-08 18:01:46.056261,0.392,000000005e0fc628
59.349397994,18.058426639,2019-11-08 18:01:47.063634,0.414,000000005e0fc628
59.349404964,18.058409928,2019-11-08 18:01:48.071079,0.414,000000005e0fc628
59.349404964,18.058409928,2019-11-08 18:01:49.078597,0.306,000000005e0fc628
59.349407358,18.058393217,2019-11-08 18:01:50.085667,0.414,000000005e0fc628
59.349409752,18.058376505,2019-11-08 18:01:51.092965,0.414,000000005e0fc628
59.349409752,18.058376505,2019-11-08 18:01:52.100383,0.414,000000005e0fc628
59.349409752,18.058376505,2019-11-08 18:01:53.107932,0.306,000000005e0fc628
59.349409752,18.058376505,2019-11-08 18:01:54.115152,0.172,000000005e0fc628
59.349409752,18.058376505,2019-11-08 18:01:55.122627,0.306,000000005e0fc628
59.349409752,18.058376505,2019-11-08 18:01:56.130142,0.172,000000005e0fc628
59.349409752,18.058376505,2019-11-08 18:01:57.137783,0.279,000000005e0fc628
59.349407358,18.058393217,2019-11-08 18:01:58.145169,0.123,000000005e0fc628
59.349400016,18.058387768,2019-11-08 18:01:59.152856,0.304,000000005e0fc628
59.349400016,18.058387768,2019-11-08 18:02:00.160368,0.0,000000005e0fc628
59.349397622,18.058404479,2019-11-08 18:02:01.168317,0.0,000000005e0fc628
59.349397622,18.058404479,2019-11-08 18:02:02.175543,0.215,000000005e0fc628
59.349397622,18.058404479,2019-11-08 18:02:03.183065,0.123,000000005e0fc628
59.349397622,18.058404479,2019-11-08 18:02:04.190649,0.279,000000005e0fc628
59.349390652,18.058421191,2019-11-08 18:02:05.198353,0.37,000000005e0fc628
59.349388258,18.058437902,2019-11-08 18:02:06.206048,0.529,000000005e0fc628
59.349385864,18.058454613,2019-11-08 18:02:07.213514,0.718,000000005e0fc628
59.349373946,18.058449165,2019-11-08 18:02:08.220985,0.414,000000005e0fc628
59.349371552,18.058465876,2019-11-08 18:02:09.228149,0.462,000000005e0fc628
59.349369158,18.058482587,2019-11-08 18:02:10.236309,0.514,000000005e0fc628
59.349354846,18.05849385,2019-11-08 18:02:11.244470,0.153,000000005e0fc628
59.349354846,18.05849385,2019-11-08 18:02:12.252881,0.153,000000005e0fc628
59.349354846,18.05849385,2019-11-08 18:02:13.260484,0.0,000000005e0fc628
59.349352452,18.058510561,2019-11-08 18:02:14.267914,0.123,000000005e0fc628
59.349352452,18.058510561,2019-11-08 18:02:15.275203,0.123,000000005e0fc628
59.349347876,18.058510561,2019-11-08 18:02:16.282754,0.279,000000005e0fc628
59.349347876,18.058510561,2019-11-08 18:02:17.290373,0.304,000000005e0fc628
59.349347876,18.058510561,2019-11-08 18:02:18.297973,0.304,000000005e0fc628
59.349343299,18.058510561,2019-11-08 18:02:19.305327,0.279,000000005e0fc628
59.349335957,18.058505112,2019-11-08 18:02:20.312880,0.17,000000005e0fc628
59.349335957,18.058505112,2019-11-08 18:02:21.320403,0.17,000000005e0fc628
59.349335957,18.058505112,2019-11-08 18:02:22.328021,0.123,000000005e0fc628
59.349331381,18.058505112,2019-11-08 18:02:23.335552,0.17,000000005e0fc628
59.349331381,18.058505112,2019-11-08 18:02:24.342972,0.17,000000005e0fc628
59.349331381,18.058505112,2019-11-08 18:02:25.346995,0.0,000000005e0fc628
59.349336329,18.058527272,2019-11-08 18:02:26.354238,0.172,000000005e0fc628
59.349336329,18.058527272,2019-11-08 18:02:27.361810,0.172,000000005e0fc628
59.349336329,18.058527272,2019-11-08 18:02:28.369353,0.17,000000005e0fc628
59.349341489,18.05851601,2019-11-08 18:02:29.376804,0.279,000000005e0fc628
59.349341489,18.05851601,2019-11-08 18:02:30.384142,0.279,000000005e0fc628
59.349341489,18.05851601,2019-11-08 18:02:31.391634,0.279,000000005e0fc628
59.349343883,18.058499299,2019-11-08 18:02:32.399134,0.557,000000005e0fc628
59.349343883,18.058499299,2019-11-08 18:02:33.406342,0.557,000000005e0fc628
59.3493417,18.058482587,2019-11-08 18:02:34.413695,0.545,000000005e0fc628
59.3493417,18.058482587,2019-11-08 18:02:35.421413,0.172,000000005e0fc628
59.3493417,18.058482587,2019-11-08 18:02:36.428855,0.172,000000005e0fc628
59.349344094,18.058465876,2019-11-08 18:02:37.436076,0.446,000000005e0fc628
59.349344094,18.058465876,2019-11-08 18:02:38.443282,0.392,000000005e0fc628
59.349344094,18.058465876,2019-11-08 18:02:39.450867,0.392,000000005e0fc628
59.349341912,18.058449165,2019-11-08 18:02:40.458632,0.515,000000005e0fc628
59.349341912,18.058449165,2019-11-08 18:02:41.466190,0.279,000000005e0fc628
59.349341912,18.058449165,2019-11-08 18:02:42.473357,0.279,000000005e0fc628
59.349341912,18.058449165,2019-11-08 18:02:43.480910,0.109,000000005e0fc628
59.349337336,18.058449165,2019-11-08 18:02:44.488437,0.279,000000005e0fc628
59.349337336,18.058449165,2019-11-08 18:02:45.495693,0.279,000000005e0fc628
59.349334942,18.058465876,2019-11-08 18:02:46.503106,0.271,000000005e0fc628
59.349334942,18.058465876,2019-11-08 18:02:47.510777,0.304,000000005e0fc628
59.349334942,18.058465876,2019-11-08 18:02:48.518254,0.304,000000005e0fc628
59.349330365,18.058465876,2019-11-08 18:02:49.525419,0.411,000000005e0fc628
59.349332759,18.058449165,2019-11-08 18:02:50.532716,0.344,000000005e0fc628
